"X","Y","Z","X_s","X_b","Y_s","Y_b","X_b2","Y_b2","Sr","V"
2.94561976042503,7.45081972063454,26.8706415762905,3.28790880834446,3.04266716182057,7.30756666260371,7.48686247751874,2.97594602158648,7.55356732816911,1,1
2.76061503978043,7.72476337979192,24.721761820961,3.16478548300427,2.61363464414472,7.79959452519438,7.83577407006975,2.98564450291385,7.75409687871829,1,1
2.85819617467332,7.62643381607401,31.1016387172157,3.22340945303156,3.20606370858115,7.19587858003709,7.58488401020886,2.83571392177822,7.67459095886739,1,1
2.73948954170804,7.45455540008772,28.9764904980107,2.90266744134259,2.9868112434861,7.09705605241792,7.54089885866048,3.0878430252782,7.36415553655587,1,1
2.44030941451491,7.42278788305061,30.1517244262349,2.74670890235062,2.48761968870726,6.56213882334501,7.52422039038195,2.55096812285425,7.45835374553233,1,1
2.53806163494579,7.33283284418533,24.3448860081122,2.66889431662056,2.55809046758156,7.37344034020668,7.2536026670162,2.7336414214435,7.32092568101024,1,1
2.8732313172439,7.46260535142728,31.2761848960602,3.11544054864231,2.45878563235007,7.15720276718154,7.4863325734768,3.20579344762609,7.59358949789157,1,1
2.60718239514688,7.73908689605237,24.1024851729816,2.80425716994715,2.59429205713173,7.94752909471781,7.93497261404982,2.63250754162578,7.74824122473954,1,1
2.7248553727525,7.49676047965745,29.0400772964341,3.15151387440842,2.51287625140675,6.7993650364892,7.58221242885383,3.12918163362216,7.39291871865613,1,1
2.87383534974093,7.65864568594917,26.6207808049303,3.43134724096102,2.82227122916613,7.15766198115636,7.82140135319119,2.80507578404953,7.54772778706334,1,1
2.53567366031005,7.46081757347755,21.7767639394456,2.84590210911615,2.27969993732572,6.60200133904135,7.51900291201693,2.85082886667944,7.30128216775214,1,1
2.90210823861685,7.58055491379472,21.609651991872,3.24886166320437,2.98077235161972,7.49819872712409,7.65929732697005,2.83653766873107,7.72111403340543,1,1
2.5931875184044,7.60893686447425,20.0375997659968,2.8500455644215,2.67706676856125,7.99600587962954,7.64922303570778,2.62038916559794,7.81402033665424,1,1
2.68341843343959,7.48345754090997,24.5877491410645,2.87138136199204,3.00604400722366,7.11451849599596,7.39850369453824,3.30415077184751,7.5121015459401,1,1
2.78796770467833,7.3784927489287,31.6752834744979,3.34328625175774,2.85755960313803,6.70661476000546,7.41933630391128,3.24773154001534,7.25876590800299,1,1
2.68577582961139,7.51623300603668,31.0471618710117,3.21400678491037,2.61272054184726,6.79751819751415,7.4470805832186,2.4437327300697,7.67757652816397,1,1
2.76330350758941,7.52299478001994,20.3883445366987,3.36333344790488,3.03886916426329,7.60188745752021,7.520462902383,2.61237568595496,7.61986243332159,1,1
2.42235665710767,7.60682670288712,31.4327132882286,2.91817662963254,2.20765304264206,7.01994378793287,7.59519043001261,2.20020650189962,7.50869978125234,1,1
2.4113137443159,8.0843773784135,34.2483421675709,2.84555073721371,2.58772831057732,7.49803411390392,8.18298433148138,2.65067170745938,8.01704074775493,1,1
2.41236808299567,7.93089284821043,19.6988109561863,2.63679634772892,2.35479355180995,7.35299948375937,8.01734482588792,2.43661597350122,7.96148677142599,1,1
